Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
28026;Concord;NC;35.346285;-80.541088;-5;1;35.346285,-80.541088
28213;Charlotte;NC;35.280464;-80.75678;-5;1;35.280464,-80.75678
27605;Raleigh;NC;35.788284;-78.65316;-5;1;35.788284,-78.65316
27866;Pleasant Hill;NC;36.521770000000004;-77.51319;-5;1;36.52177,-77.51319
28684;Todd;NC;36.345453;-81.61009;-5;1;36.345453,-81.61009
27053;Westfield;NC;36.473951;-80.34752;-5;1;36.473951,-80.34752
28021;Cherryville;NC;35.383935;-81.39368;-5;1;35.383935,-81.39368
28164;Stanley;NC;35.377576;-81.07238;-5;1;35.377576,-81.07238
28338;Ellerbe;NC;35.089476;-79.72904;-5;1;35.089476,-79.72904
27849;Lewiston Woodville;NC;36.083011;-77.19032;-5;1;36.083011,-77.19032
28269;Charlotte;NC;35.329235;-80.80486;-5;1;35.329235,-80.80486
28581;Stacy;NC;34.842394;-76.44111;-5;1;34.842394,-76.44111
27855;Murfreesboro;NC;36.432993;-77.10287;-5;1;36.432993,-77.10287
27959;Nags Head;NC;35.923805;-75.61144;-5;1;35.923805,-75.61144
28088;Landis;NC;35.543639;-80.61167;-5;1;35.543639,-80.61167
28385;Salemburg;NC;35.053627;-78.50025;-5;1;35.053627,-78.50025
28448;Kelly;NC;34.464635;-78.29701;-5;1;34.464635,-78.29701
27332;Sanford;NC;35.401023;-79.14419;-5;1;35.401023,-79.14419
27568;Pine Level;NC;35.511864;-78.24273;-5;1;35.511864,-78.24273
28453;Magnolia;NC;34.888483;-78.05955;-5;1;34.888483,-78.05955
28710;Bat Cave;NC;35.464897;-82.28307;-5;1;35.464897,-82.28307
27968;Rodanthe;NC;35.661979;-75.47741;-5;1;35.661979,-75.47741
27624;Raleigh;NC;35.797692;-78.625265;-5;1;35.797692,-78.625265
28243;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27864;Pinetops;NC;35.795738;-77.64106;-5;1;35.795738,-77.64106
28010;Barium Springs;NC;35.719228;-80.89909;-5;1;35.719228,-80.89909
28002;Albemarle;NC;35.264179;-80.108188;-5;1;35.264179,-80.108188
28657;Newland;NC;36.049348;-81.94286;-5;1;36.049348,-81.94286
27412;Greensboro;NC;36.066129;-79.806735;-5;1;36.066129,-79.806735
28906;Murphy;NC;35.091332;-84.09018;-5;1;35.091332,-84.09018
28757;Montreat;NC;35.646373;-82.29968;-5;1;35.646373,-82.29968
27523;Eagle Rock;NC;35.797692;-78.625265;-5;1;35.797692,-78.625265
27843;Hobgood;NC;35.999591;-77.40241;-5;1;35.999591,-77.40241
27920;Buxton;NC;35.263128;-75.55787;-5;1;35.263128,-75.55787
27962;Plymouth;NC;35.842107;-76.73206;-5;1;35.842107,-76.73206
28234;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28849;Wrightsboro;NC;34.300421;-77.934656;-5;1;34.300421,-77.934656
28479;Winnabow;NC;34.107077;-78.04965;-5;1;34.107077,-78.04965
28781;Topton;NC;35.241747;-83.62998;-5;1;35.241747,-83.62998
28668;Roaring Gap;NC;36.38846;-81.00733;-5;1;36.38846,-81.00733
28786;Waynesville;NC;35.511094;-82.99607;-5;1;35.511094,-82.99607
28607;Boone;NC;36.21277;-81.66255;-5;1;36.21277,-81.66255
28345;Hamlet;NC;34.879186;-79.69001;-5;1;34.879186,-79.69001
28463;Tabor City;NC;34.12483;-78.82187;-5;1;34.12483,-78.82187
27411;Greensboro;NC;36.080707;-80.0244;-5;1;36.080707,-80.0244
28747;Lake Toxaway;NC;35.146004;-82.92258;-5;1;35.146004,-82.92258
27509;Butner;NC;36.138298;-78.75882;-5;1;36.138298,-78.75882
28261;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
